wave,blue
1869,0.742758541
1870,0.750245711
1871,0.757525352
1872,0.76461041
1873,0.771512604
1874,0.778242582
1875,0.784810049
1876,0.791223875
1877,0.797492195
1878,0.803622487
1879,0.809621639
1880,0.815496016
1881,0.821251512
1882,0.826893593
1883,0.83242734
1884,0.837857486
1885,0.843188446
1886,0.848424349
1887,0.853569057
1888,0.858626192
1889,0.863599156
1890,0.868491146
1891,0.873305175
1892,0.87804408
1893,0.882710542
1894,0.887307093
1895,0.891836128
1896,0.896299919
1897,0.900700616
1898,0.905040262
1899,0.909320798
1900,0.913544068
1901,0.916008773
1902,0.918454516
1903,0.920881636
1904,0.92329046
1905,0.925681306
1906,0.928054484
1907,0.930410297
1908,0.932749037
1909,0.93507099
1910,0.937376436
1911,0.939665645
1912,0.941938882
1913,0.944196404
1914,0.946438463
1915,0.948665303
1916,0.950877163
1917,0.953074277
1918,0.955256871
1919,0.957425168
1920,0.959579384
1921,0.961719731
1922,0.963846416
1923,0.965959639
1924,0.968059599
1925,0.970146488
1926,0.972220494
1927,0.974281801
1928,0.97633059
1929,0.978367036
1930,0.980391311
1931,0.982403583
1932,0.984404019
1933,0.986392777
1934,0.988370018
1935,0.990335894
1936,0.992290558
1937,0.994234156
1938,0.996166835
1939,0.998088737
1940,1
1941,0.999088476
1942,0.998174542
1943,0.997258183
1944,0.996339383
1945,0.995418128
1946,0.994494402
1947,0.993568189
1948,0.992639474
1949,0.991708241
1950,0.990774474
1951,0.988805244
1952,0.986824615
1953,0.984832433
1954,0.982828539
1955,0.980812772
1956,0.978784965
1957,0.976744951
1958,0.974692555
1959,0.972627601
1960,0.970549909
1961,0.968459293
1962,0.966355564
1963,0.964238529
1964,0.96210799
1965,0.959963744
1966,0.957805583
1967,0.955633295
1968,0.953446662
1969,0.951245462
1970,0.949029466
1971,0.946798439
1972,0.944552141
